File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\LocMetrics.html,1,1,0,0,0,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\LocMetricsFunctions.html,1,1,0,0,0,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\LocMetrics.css,1,1,6,0,0,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\admin.py,13,11,0,0,2,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\apps.py,7,4,0,0,3,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\form.py,99,80,2,9,19,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\models.py,187,152,6,18,35,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\urls.py,35,33,0,0,2,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\utils.py,14,13,1,3,1,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\views.py,462,386,27,92,76,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\migrations\0001_initial.py,145,138,8,0,7,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\migrations\0002_applied_jobs_applied_date.py,19,13,0,0,6,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\migrations\0003_alter_applied_jobs_applied_date.py,19,13,0,0,6,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\migrations\0004_alter_applied_jobs_applied_date.py,19,13,0,0,6,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\migrations\0005_alter_applied_jobs_applied_date.py,20,14,0,0,6,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\migrations\0006_alter_applied_jobs_applied_date.py,20,14,0,0,6,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\migrations\0007_jobpost_job_type.py,19,13,0,0,6,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\migrations\0008_employermore_company_address.py,19,13,0,0,6,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\migrations\0009_auto_20220212_2321.py,24,18,0,0,6,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\migrations\0010_candidatemore_upload_photo.py,19,13,0,0,6,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\migrations\0011_alter_candidatemore_upload_cv.py,19,13,0,0,6,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\migrations\0012_employermore_upload_photo.py,19,13,0,0,6,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\migrations\0013_alter_employermore_upload_photo.py,19,13,0,0,6,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\tests\test_forms.py,210,173,15,0,37,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\tests\test_models.py,7,5,0,0,2,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\tests\test_urls.py,127,100,0,0,27,0,0,0,0,0
C:\Users\Shirke\PycharmProjects\Project\Proxy\create_proxy\tests\test_views.py,29,13,0,0,16,0,0,0,0,0
